,Law,Text,Category,Category_New,text_clean
3737, la Economía Nacional DOF 17- 05-2017Ley para Impulsar el Incremento Sostenido de la Productividad y la Competitividad de,"This article promotes the participation of micro, small and medium enterprises (MSME) in public procurement. However, it does not establish a quota of public-procurement purchases that must be served by MSME",A,A,thi articl promot the particip of micro small and medium enterpris msme in public procur howev it doe not establish a quota of public-procur purchas that must be serv by msme
3738,"Oficio Circular No. B00.03.- 08/06/2016 de SENASICA Acuerdo por el que se da a conocer la campaña y las medidas zoosanitarias que deberán aplicarse para el diagnóstico, prevención, control y erradicación de la Influenza Aviar Notificable, en las zonas del territorio de los Estados Unidos Mexicanos en las que se encuentre presente esa enfermedad. DOF- 21-06-2011","AMs are free and can be filled in via the National Service of Transport Notices (Servicio Nacional de Avisos de Movilización, SNAM).",A,A,am are free and can be fill in via the nation servic of transport notic servicio nacion de aviso de movilización snam
3742,Law 5862/1972 - Infraero,"This law will come into effect on the date of its publication, revoking provisions to the contrary.",None,None,thi law will come into effect on the date of it public revok provis to the contrari
3743,Resolution 18/2006 by National Petroleum Agency - Fuel,An independent reseller can only sale aviation fuels to consumers.,A,A,an independ resel can onli sale aviat fuel to consum
3744,Resolution 440/2017 by National Civil Aviation Agency - Register,"The flight stage may only be registered with ANAC after prior agreement of the air operator with the airport operators involved and with the air navigation service providers, regarding the use of the airport and aeronautical infrastructure required for the planned period.",None,None,the flight stage may onli be regist with anac after prior agreement of the air oper with the airport oper involv and with the air navig servic provid regard the use of the airport and aeronaut infrastructur requir for the plan period
3747,Decree 7624/2011 - Airport concession,"At the discretion of the granting authority, in a grounded decision, the alternative, complementary, accessory revenues or those from associated projects, with or without exclusivity, can be used to favor the airport system's tariff moderation as a whole, including through the expansion and improvement of the infrastructure.",None,None,at the discret of the grant author in a ground decis the altern complementari accessori revenu or those from associ project with or without exclus can be use to favor the airport system 's tariff moder a a whole includ through the expans and improv of the infrastructur
3748,"NOM-194-SSA1- 2004. Productos y servicios. Especificaciones sanitarias en los establecimientos dedicados al sacrificio y faenado de animales para abasto, almacenamiento, transporte y expendio. Especificaciones sanitarias de productos","All animals arriving at an abattoir must have a zoosanitary certificate (the NOM refers to certificado zoosanitano, which is presumably a CZM) or a ""Cattle Transport Document"" (the NOM refers to guía de traslado de ganado, which is presumably is a state transport document). Furthermore, registry must be kept of information concerning origin, destination, meat temperature, means of transport temperature, and data to identify the vehicle (such as licence plate, driver, and company).",A,A,all anim arriv at an abattoir must have a zoosanitari certif the nom refer to certificado zoosanitano which is presum a czm or a `` cattl transport document `` the nom refer to guía de traslado de ganado which is presum is a state transport document furthermor registri must be kept of inform concern origin destin meat temperatur mean of transport temperatur and data to identifi the vehicl such a licenc plate driver and compani
3749,Law 7565/1986 - Brazilian Aeronautical Code,"The correspondence carried by crashed aircraft must be delivered, as soon as possible, to the entity responsible for the postal service, which will make the appropriate communication to the nearest customs authority, in the case of international postal consignments.",None,None,the correspond carri by crash aircraft must be deliv a soon a possibl to the entiti respons for the postal servic which will make the appropri commun to the nearest custom author in the case of intern postal consign
3750,Law 7565/1986 - Brazilian Aeronautical Code,"Facilities are: day and night ballasting; courtyard lighting; specialized firefighting service and medical emergency removal service; pre-boarding area, air-conditioning, buses, boarding bridges, baggage conveyor systems, passenger carts, disembarkation bridges, escalator passenger ascension-descent system, closed-circuit television guidance, semi-automatic message announcer system, sound system, flight information system, general airconditioning, public service areas, commercial support areas, ",None,None,facil are day and night ballast courtyard light special firefight servic and medic emerg remov servic pre-board area air-condit buse board bridg baggag conveyor system passeng cart disembark bridg escal passeng ascension-desc system closed-circuit televis guidanc semi-automat messag announc system sound system flight inform system gener aircondit public servic area commerci support area
3751,Resolution 440/2017 by National Civil Aviation Agency - Register,"The airport operator, when allocating the infrastructure demanded by the air operator for the performance of a flight stage, must comply with the declared operational capabilities, the operational conditions and the principles of equality, transparency and non-discrimination.",None,None,the airport oper when alloc the infrastructur demand by the air oper for the perform of a flight stage must compli with the declar oper capabl the oper condit and the principl of equal transpar and non-discrimin
3752,Regulation (RBAC) 154/2017 by National Civil Aviation  Agency,The regulation (RBAC) 154/2017 (on aerodrome projects) only applies to facilities implemented from the date of entry into force.,B,B,the regul rbac 154/2017 on aerodrom project onli appli to facil implement from the date of entri into forc
3753,Regulation (RBAC) 154/2017 by National Civil Aviation  Agency,"By way of derogation from point (a) of Article 2 (1) of Regulation (EU) No 182/2011, the Commission shall, by means of implementing acts, adopt implementing acts laying down detailed rules for the application of this Regulation in accordance with the examination procedure referred to in Article 3 (2) of Regulation (EU) No 182/2011.",B,B,by way of derog from point a of articl of regul eu no 182/2011 the commiss shall by mean of implement act adopt implement act lay down detail rule for the applic of thi regul in accord with the examin procedur refer to in articl of regul eu no 182/2011
3754,Regulation (RBAC) 154/2017 by National Civil Aviation  Agency,"In the case of an airport, it is not possible for the airport to operate in the same area as the airport.",B,B,in the case of an airport it is not possibl for the airport to oper in the same area a the airport
3755,Regulation (RBAC) 154/2017 by National Civil Aviation  Agency,The French distribution system (REBC) applies to the date of entering force 154/ 2017 (in one page).,B,B,the french distribut system rebc appli to the date of enter forc 154/ in one page
3756,Regulation (RBAC) 154/2017 by National Civil Aviation  Agency,"For the purposes of this Regulation, the following definitions apply:",B,B,for the purpos of thi regul the follow definit appli
3757,Regulation (RBAC) 154/2017 by National Civil Aviation  Agency,This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union.,B,B,thi regul shall enter into forc on the twentieth day follow that of it public in the offici journal of the european union
3759,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,The public notice may establish the requirement for guarantees and insurance.,A,A,the public notic may establish the requir for guarante and insur
3760,Law 7565/1986 - Brazilian Aeronautical Code,Brazil exercises complete and exclusive sovereignty over the airspace above its territory and territorial sea.,None,None,brazil exercis complet and exclus sovereignti over the airspac abov it territori and territori sea
3761,Ley General de Salud,"In order to obtain a sanitary registry for biotechnological products, an applicant must submit to the Ministry of Health clinical and sometimes in-vitro studies (studies performed outside a normal biological context) to demonstrate the safety, efficacy and quality of the product.",B,B,in order to obtain a sanitari registri for biotechnolog product an applic must submit to the ministri of health clinic and sometim in-vitro studi studi perform outsid a normal biolog context to demonstr the safeti efficaci and qualiti of the product
3762,Ley General de Salud,"In order to obtain a sanitary register of biotechnology products, the applicant must submit to the Ministry of Health the results of clinical and sometimes in-vitro studies (studies conducted outside the normal biological context) in order to demonstrate the safety, effectiveness and quality of the product.",B,B,in order to obtain a sanitari regist of biotechnolog product the applic must submit to the ministri of health the result of clinic and sometim in-vitro studi studi conduct outsid the normal biolog context in order to demonstr the safeti effect and qualiti of the product
3763,Ley General de Salud,"In order to obtain sanitation registry for biotechnology products, a applicant must submit to the Health Department and sometimes in-vitro studies (study done outside the normal biological context) to show security, ease, and quality of his product.",B,B,in order to obtain sanit registri for biotechnolog product a applic must submit to the health depart and sometim in-vitro studi studi done outsid the normal biolog context to show secur ea and qualiti of hi product
3764,Ley General de Salud,"In order to obtain a health register for biotechnological products, the applicant must submit clinical and sometimes in vitro studies (studies performed outside a normal biological context) to the Ministry of Health to demonstrate the safety, efficacy and quality of the product.",B,B,in order to obtain a health regist for biotechnolog product the applic must submit clinic and sometim in vitro studi studi perform outsid a normal biolog context to the ministri of health to demonstr the safeti efficaci and qualiti of the product
3765,Ley General de Salud,"In order to gain access to a health register for biotechnological products, the applicant must provide clinical and sometimes in vitro studies (in studies conducted outside a normal biological context) to the Ministry of Health in order to demonstrate the safety, efficacy and quality of the product.",B,B,in order to gain access to a health regist for biotechnolog product the applic must provid clinic and sometim in vitro studi in studi conduct outsid a normal biolog context to the ministri of health in order to demonstr the safeti efficaci and qualiti of the product
3766,Ley General de Salud,"To obtain a Sanitary Register of Biotechnological Products, an applicant must submit clinical and sometimes in vitro studies (studies carried out outside a normal biological context) to the Ministry of Health to demonstrate the safety, efficacy and quality of the product.",B,B,to obtain a sanitari regist of biotechnolog product an applic must submit clinic and sometim in vitro studi studi carri out outsid a normal biolog context to the ministri of health to demonstr the safeti efficaci and qualiti of the product
3768,Law 10406/2002 - Civil Code,"Any changes in the foreign company’s bylaws are subject to approval by the Executive Branch, to be effective in Brazil.",A,A,ani chang in the foreign compani ’ s bylaw are subject to approv by the execut branch to be effect in brazil
3769,"Reglamento de
Insumos para la Salud

Reglamento de la Ley General de Salud en Materia de Control Sanitario de Actividades, Establecimientos, Productos y Servicios","According to Article 108 of the Reglamento de Insumos para sanitary licence ceases to operate an establishment, he or she must give notice to the Ministry of Health of his or her decision at least 30 days in advance, unless in the case of an unforeseen event or force la Salud, if a holder of a majeure.",A,A,accord to articl of the reglamento de insumo para sanitari licenc ceas to oper an establish he or she must give notic to the ministri of health of hi or her decis at least day in advanc unless in the case of an unforeseen event or forc la salud if a holder of a majeur
3770,Law 14133/2021 - New General Procurement Act,"The procurement authority may prohibit, restrict or establish conditions for subcontracting.",A,A,the procur author may prohibit restrict or establish condit for subcontract
3788,Ley General de Sociedades Cooperativas DOF 13-08-2009 Ley de Inversión extraniera DOF 18- 12-2015,"Foreign investors can only own, either directly or indirectly, up to 10% of the ownership interest in a Mexican cooperative production enterprise. Furthermore, foreign citizens cannot hold management and administrative positions in Mexican cooperative production enterprises.",B,B,foreign investor can onli own either directli or indirectli up to of the ownership interest in a mexican cooper product enterpris furthermor foreign citizen can not hold manag and administr posit in mexican cooper product enterpris
3789,Ley General de Sociedades Cooperativas DOF 13-08-2009 Ley de Inversión extraniera DOF 18- 12-2015,"▪ Foreign investors may own only, directly or indirectly, up to 10 per cent of the ownership of a Mexican cooperative production enterprise; in addition, foreign nationals may not hold managerial and administrative positions in Mexican cooperative production enterprises.",B,B,▪ foreign investor may own onli directli or indirectli up to per cent of the ownership of a mexican cooper product enterpris in addit foreign nation may not hold manageri and administr posit in mexican cooper product enterpris
3790,Ley General de Sociedades Cooperativas DOF 13-08-2009 Ley de Inversión extraniera DOF 18- 12-2015,"Foreign investors can own only directly or indirectly up to 10% of the ownership of a Mexican cooperative production company. Moreover, foreign citizens cannot hold management and administrative positions in Mexican cooperative production companies.",B,B,foreign investor can own onli directli or indirectli up to of the ownership of a mexican cooper product compani moreov foreign citizen can not hold manag and administr posit in mexican cooper product compani
3791,Ley General de Sociedades Cooperativas DOF 13-08-2009 Ley de Inversión extraniera DOF 18- 12-2015,"Foreign investors may only own, directly or indirectly, up to 10% of the share in the ownership of a Mexican cooperative production company. In addition, foreign citizens may not hold administrative and managerial positions in Mexican cooperative production companies.",B,B,foreign investor may onli own directli or indirectli up to of the share in the ownership of a mexican cooper product compani in addit foreign citizen may not hold administr and manageri posit in mexican cooper product compani
3792,Ley General de Sociedades Cooperativas DOF 13-08-2009 Ley de Inversión extraniera DOF 18- 12-2015,"Foreign investors can only own, either directly or indirectly, up to 10% of the ownership interest in a Mexican cooperative production company. Moreover, foreign nationals cannot have management and administrative positions in Mexican cooperative production companies.",B,B,foreign investor can onli own either directli or indirectli up to of the ownership interest in a mexican cooper product compani moreov foreign nation can not have manag and administr posit in mexican cooper product compani
3793,Ley General de Sociedades Cooperativas DOF 13-08-2009 Ley de Inversión extraniera DOF 18- 12-2015,"In addition, foreign citizens cannot hold management and administrative positions in Mexican cooperative production companies.",B,B,in addit foreign citizen can not hold manag and administr posit in mexican cooper product compani
3794,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,"To obtain the economic qualification needed to participate in tenders, companies may be required to submit, among other documents, a balance sheet and financial statements for the last fiscal year, already required and presented in accordance with the law, which prove the company's good financial situation. ",Administrativeburden,Others,to obtain the econom qualif need to particip in tender compani may be requir to submit among other document a balanc sheet and financi statement for the last fiscal year alreadi requir and present in accord with the law which prove the compani 's good financi situat
3795,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,"In order to obtain the necessary economic qualifications to participate in tenders, companies may be required to submit, among other documents, a balance sheet and financial statements for the last fiscal year, which are already required and presented in accordance with the law, thus demonstrating the good financial situation of the company.",Administrativeburden,Others,in order to obtain the necessari econom qualif to particip in tender compani may be requir to submit among other document a balanc sheet and financi statement for the last fiscal year which are alreadi requir and present in accord with the law thu demonstr the good financi situat of the compani
3796,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,"In order to obtain the necessary economic qualification for participation in tender procedures, companies may be required, among other documents, to submit an accounting and financial report for the last budgetary year, which has already been required and submitted in accordance with the law which proves the company's good financial situation.",Administrativeburden,Others,in order to obtain the necessari econom qualif for particip in tender procedur compani may be requir among other document to submit an account and financi report for the last budgetari year which ha alreadi been requir and submit in accord with the law which prove the compani 's good financi situat
3797,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,"In order to obtain the economic qualifications needed to participate in tenders, companies may be required, inter alia, to submit balance sheets and financial statements for the last fiscal year, which are already required and submitted in accordance with legislation demonstrating the good financial situation of the company.",Administrativeburden,Others,in order to obtain the econom qualif need to particip in tender compani may be requir inter alia to submit balanc sheet and financi statement for the last fiscal year which are alreadi requir and submit in accord with legisl demonstr the good financi situat of the compani
3798,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,"Article 4 (1) point (b) of Regulation (EU) No 575/2013 provides that an entity established in a Member State and established in a Member State other than that in which it has its registered office shall, in accordance with Article 4 (1) (a) of Regulation (EU) No 575/2013.",Administrativeburden,Others,articl point b of regul eu no 575/2013 provid that an entiti establish in a member state and establish in a member state other than that in which it ha it regist offic shall in accord with articl a of regul eu no 575/2013
3799,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,"In order to obtain the economic qualification necessary to participate in tenders, undertakings may be required to submit, inter alia, a balance sheet and financial statements for the last financial year, which are already required and presented in accordance with the law, which proves the firm's sound financial situation.",Administrativeburden,Others,in order to obtain the econom qualif necessari to particip in tender undertak may be requir to submit inter alia a balanc sheet and financi statement for the last financi year which are alreadi requir and present in accord with the law which prove the firm 's sound financi situat
3800,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,". In order to obtain the financial capacity required to participate in tenders, undertakings may be required to submit, inter alia, the balance sheet and financial statements for the last financial year, which have already been required and presented in accordance with the law and which demonstrate the good financial situation of the company.",Administrativeburden,Others,in order to obtain the financi capac requir to particip in tender undertak may be requir to submit inter alia the balanc sheet and financi statement for the last financi year which have alreadi been requir and present in accord with the law and which demonstr the good financi situat of the compani
3801,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,"In order to obtain the economic qualification necessary to participate in tenders, companies may be required to submit, inter alia, a balance sheet and financial statements for the last financial year, already required and submitted in accordance with the law, which demonstrate the good financial position of the company.",Administrativeburden,Others,in order to obtain the econom qualif necessari to particip in tender compani may be requir to submit inter alia a balanc sheet and financi statement for the last financi year alreadi requir and submit in accord with the law which demonstr the good financi posit of the compani
3802,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,"In order to obtain the economic qualifications required to participate in tenders, companies may be required to submit, among other things, a balance sheet and annual financial statements for the last financial year, which have already been prescribed and submitted under the law, as demonstrated by the company's good financial situation.",Administrativeburden,Others,in order to obtain the econom qualif requir to particip in tender compani may be requir to submit among other thing a balanc sheet and annual financi statement for the last financi year which have alreadi been prescrib and submit under the law a demonstr by the compani 's good financi situat
3803,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,"(Applause.) In some countries, the need for a balance sheet and financial statements between companys and other documents is already necessary for the years, and has already presented the law, which proves the best state of the company.",Administrativeburden,Others,applaus in some countri the need for a balanc sheet and financi statement between compani and other document is alreadi necessari for the year and ha alreadi present the law which prove the best state of the compani
3804,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,"If you have the right to take part in other countries, it must be required to expect for financial support, financial support, and financial support.",Administrativeburden,Others,if you have the right to take part in other countri it must be requir to expect for financi support financi support and financi support
3805,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,"In order to obtain the necessary economic qualifications to participate in tenders, corporations may be required to submit, including documents, balances and financial statements for the last fiscal year, which are needed and presented in accordance with the law, which proves the financial condition of a good company.",Administrativeburden,Others,in order to obtain the necessari econom qualif to particip in tender corpor may be requir to submit includ document balanc and financi statement for the last fiscal year which are need and present in accord with the law which prove the financi condit of a good compani
3806,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,"In order to obtain the economic qualification necessary to participate in the invitations to tender, companies may be required to submit, among other documents, a balance sheet and a balance sheet for the last financial year, already requested and submitted in accordance with the law, demonstrating the good financial situation of the company.",Administrativeburden,Others,in order to obtain the econom qualif necessari to particip in the invit to tender compani may be requir to submit among other document a balanc sheet and a balanc sheet for the last financi year alreadi request and submit in accord with the law demonstr the good financi situat of the compani
3807,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,"In order to obtain the economic qualifications necessary to bid, companies may be required to submit, inter alia, a balance sheet and financial statements for the last fiscal year, which have already been required and submitted in accordance with the law proving the good financial position of the company.",Administrativeburden,Others,in order to obtain the econom qualif necessari to bid compani may be requir to submit inter alia a balanc sheet and financi statement for the last fiscal year which have alreadi been requir and submit in accord with the law prove the good financi posit of the compani
3808,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,"In order to obtain the economic qualification necessary to participate in tenders, companies may be required to submit, among other documents, a balance sheet and financial statements for the last fiscal year, already required and submitted in accordance with the law, which demonstrate the good financial position of the company.",Administrativeburden,Others,in order to obtain the econom qualif necessari to particip in tender compani may be requir to submit among other document a balanc sheet and financi statement for the last fiscal year alreadi requir and submit in accord with the law which demonstr the good financi posit of the compani
3809,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,"In order to obtain the financial qualifications required to participate in the tenders, companies may be required to submit, inter alia, a balance sheet and financial statements for the last financial year, which are already required and presented in accordance with the law, thus proving the firm's good financial situation.",Administrativeburden,Others,in order to obtain the financi qualif requir to particip in the tender compani may be requir to submit inter alia a balanc sheet and financi statement for the last financi year which are alreadi requir and present in accord with the law thu prove the firm 's good financi situat
3810,Internal Regulation - SOE's - COMPANHIA DOCAS DO RIO DE JANEIRO - CDRJ,"In order to obtain the economic qualification necessary to participate in tenders, companies may be required to submit, among other documents, a balance sheet and financial statements for the last fiscal year, which are already required and submitted in accordance with the law and which demonstrate the company's good financial situation.",Administrativeburden,Others,in order to obtain the econom qualif necessari to particip in tender compani may be requir to submit among other document a balanc sheet and financi statement for the last fiscal year which are alreadi requir and submit in accord with the law and which demonstr the compani 's good financi situat
3812,Law 7565/1986 - Brazilian Aeronautical Code,"The unpaid function can be exercised by qualified crew members, regardless of their nationality.",None,None,the unpaid function can be exercis by qualifi crew member regardless of their nation
3813,Regulation (RBAC) 154/2017 by National Civil Aviation  Agency,"However, some facilities already implemented when the regulation entered into force were also required to comply with its provisions, in the following cases: (i) when they are replaced or upgraded to accommodate more demanding operations or critical new aircraft operations; (ii) when ANAC sets a deadline for adjust to the regulation in a process of Airport Operating Certificate (AOC); (iii) when ANAC sets a deadline for adjust to the regulation in an airport concession contract; (iv) when ANAC s",B,B,howev some facil alreadi implement when the regul enter into forc were also requir to compli with it provis in the follow case i when they are replac or upgrad to accommod more demand oper or critic new aircraft oper ii when anac set a deadlin for adjust to the regul in a process of airport oper certif aoc iii when anac set a deadlin for adjust to the regul in an airport concess contract iv when anac s
3814,Regulation (RBAC) 154/2017 by National Civil Aviation  Agency,"However, some of the facilities already put in place at the time of entry into force of the Regulation were also in compliance with its provisions in the following cases: (i) when they are replaced or updated in such a way that they are equivalent to more demanding activities or critical new aircraft operations; (ii) when ANAC sets a deadline within which the regulation must be adapted to the airport authorisation procedure; (iii) when ANAC sets a deadline within which the regulation must be adapted to the airport licensing agreement; (iv) when ANAC is required to:",B,B,howev some of the facil alreadi put in place at the time of entri into forc of the regul were also in complianc with it provis in the follow case i when they are replac or updat in such a way that they are equival to more demand activ or critic new aircraft oper ii when anac set a deadlin within which the regul must be adapt to the airport authoris procedur iii when anac set a deadlin within which the regul must be adapt to the airport licens agreement iv when anac is requir to
3815,Regulation (RBAC) 154/2017 by National Civil Aviation  Agency,"However, certain facilities already in operation at the time of entry into force of the Order were also required to comply with its provisions in the following cases: (i) when they were replaced or upgraded to enable them to carry out more complex or complex new air operations; (ii) when ANAQ sets a time limit for the adjustment of rules in the process of issuing an airport operating certificate (AOC); (iii) when ANAQ sets a time limit for the adaptation to the rules in the airport concession contract; (iv) when ANAQ is entitled to be authorized to fly to the airport; and (iv) when ANAQ is entitled to set the following time limits in accordance with the rules of the airport lease concession contract:",B,B,howev certain facil alreadi in oper at the time of entri into forc of the order were also requir to compli with it provis in the follow case i when they were replac or upgrad to enabl them to carri out more complex or complex new air oper ii when anaq set a time limit for the adjust of rule in the process of issu an airport oper certif aoc iii when anaq set a time limit for the adapt to the rule in the airport concess contract iv when anaq is entitl to be author to fli to the airport and iv when anaq is entitl to set the follow time limit in accord with the rule of the airport lea concess contract
3816,Regulation (RBAC) 154/2017 by National Civil Aviation  Agency,"• when ANAC sets a deadline for adapting the Regulation to a concession contract, iv) when ANAC sets a deadline for adapting to the Regulation in a process of operating licence (AOC), iii) when ANAC sets a time limit for adapting to the Regulation in a concession contract for airports, iv) when ANAC sets a time limit for adapting to the Regulation in a concession contract for airports; iv) when ANAC sets a time limit for adapting to the Regulation;",B,B,• when anac set a deadlin for adapt the regul to a concess contract iv when anac set a deadlin for adapt to the regul in a process of oper licenc aoc iii when anac set a time limit for adapt to the regul in a concess contract for airport iv when anac set a time limit for adapt to the regul in a concess contract for airport iv when anac set a time limit for adapt to the regul
3817,Regulation (RBAC) 154/2017 by National Civil Aviation  Agency,(ii) where the ANAC provides for a period of adjustment to the regulation under the concession contract at the airport; (iv) where the ANAC provides for a period of adjustment to the regulation in the concession contract at the airport;,B,B,ii where the anac provid for a period of adjust to the regul under the concess contract at the airport iv where the anac provid for a period of adjust to the regul in the concess contract at the airport
3818,Regulation (RBAC) 154/2017 by National Civil Aviation  Agency,"However, some installations already applied when the Regulation came into force were also obliged to comply with its provisions, in the following cases: (i) when they are replaced or improved to accommodate more demanding operations or new operations of critical aircraft; (ii) when the ANAC sets a deadline to comply with the rules in an airport operating certificate process (AOC); (iii) when the ANAC sets a deadline to comply with the regulations in an airport concession contract; (iv) when the ANAC s",B,B,howev some instal alreadi appli when the regul came into forc were also oblig to compli with it provis in the follow case i when they are replac or improv to accommod more demand oper or new oper of critic aircraft ii when the anac set a deadlin to compli with the rule in an airport oper certif process aoc iii when the anac set a deadlin to compli with the regul in an airport concess contract iv when the anac s
3819,Ordinance 530/2019  by Ministry of Infrastructure - , whether the transfer of ownership may result in damage to competition or infringement of the economic order in the port sector.,A,A,whether the transfer of ownership may result in damag to competit or infring of the econom order in the port sector
3824,Resolution 192/2011 by National Civil Aviation Agency - Concessions,"The request for projects, studies, surveys or investigations related to concessions for the exploitation of airport infrastructure by private initiative defined as priorities by the federal government will consist of a public call to be held by ANAC, which shall: be widely publicized, through publication in the Diário Oficial da União and, when deemed convenient, on the world wide web (internet) or in newspapers with wide circulation.",None,None,the request for project studi survey or investig relat to concess for the exploit of airport infrastructur by privat initi defin a prioriti by the feder govern will consist of a public call to be held by anac which shall be wide public through public in the diário ofici da união and when deem conveni on the world wide web internet or in newspap with wide circul
3826,Reglamento de Insumos para la Salud,"A registry before the Ministry of Health is required before importing pharmaceutical products for commercial purposes. If a potential importer is not the holder of the registry, it must obtain consent from the owner before it can get an authorisation from the Ministry of Health to begin importing.",A,A,a registri befor the ministri of health is requir befor import pharmaceut product for commerci purpos if a potenti import is not the holder of the registri it must obtain consent from the owner befor it can get an authoris from the ministri of health to begin import
3827,Resolution 302/2014 by National Civil Aviation  Agency - Airport Area,ding and unloading; IV - aircraft maintenance and related services; V - aircraft shelter and ramp equipment; and VI - administrative office installation.,None,None,ding and unload iv aircraft mainten and relat servic v aircraft shelter and ramp equip and vi administr offic instal
3831,Law 7565/1986 - Brazilian Aeronautical Code,The compensation for extra-patrimonial damage due to failure in the performance of the transportation contract is conditioned to the demonstration of the effective occurrence of the damage and its extension by the passenger or by the shipper or receiver of the cargo.,None,None,the compens for extra-patrimoni damag due to failur in the perform of the transport contract is condit to the demonstr of the effect occurr of the damag and it extens by the passeng or by the shipper or receiv of the cargo
3832,Law 7565/1986 - Brazilian Aeronautical Code,"The occurrence of a resolutive condition, established in the contract, leads to the cancellation of the enrollment, while the acquittal or the occurrence of a suspensive condition authorizes the definitive enrollment.",None,None,the occurr of a resolut condit establish in the contract lead to the cancel of the enrol while the acquitt or the occurr of a suspens condit author the definit enrol
3833,Law 7565/1986 - Brazilian Aeronautical Code,"Any of the certificates referred to in the previous articles may be revoked by the aeronautical authority if it is proven, in an administrative process or in a health examination, that the respective holder is not of good professional standing or is not capable of exercising the functions specified in his license. Sole Paragraph. In the case of this article, the provisions of the sole paragraph of article 163 apply.",None,None,ani of the certif refer to in the previou articl may be revok by the aeronaut author if it is proven in an administr process or in a health examin that the respect holder is not of good profession stand or is not capabl of exercis the function specifi in hi licens sole paragraph in the case of thi articl the provis of the sole paragraph of articl appli
3834,Resolution 440/2017 by National Civil Aviation Agency - Register,"The deadlines and the form of communication of the process of allocation of airport infrastructure, as well as the publications to be made by the airport operator arranged in this chapter will be established in an ordinance of the competent Superintendence.",None,None,the deadlin and the form of commun of the process of alloc of airport infrastructur a well a the public to be made by the airport oper arrang in thi chapter will be establish in an ordin of the compet superintend
3836,Regulation (RBAC) 65/2018  by National Civil Aviation Agency - Flight dispatcher and aircraft maintenance technician licences,"Aircraft maintenance technician (AMT) licences do not expire, neither the qualifications. However, the holder must only perform the activities if he/she has recent experiences (worked as AMT for at least 6 months in the last 2 years - item 65.83). Every three years, the holder must re-register the licence at ANAC.",A,A,aircraft mainten technician amt licenc do not expir neither the qualif howev the holder must onli perform the activ if he/sh ha recent experi work a amt for at least month in the last year item 65.83 everi three year the holder must re-regist the licenc at anac
3837,"NOM-054-Z00- 1996, Establecimiento de cuarentenas para animales y sus productos","This allowance, however, is not clear from the reading of the NOM.",B,B,thi allow howev is not clear from the read of the nom
3838,"NOM-054-Z00- 1996, Establecimiento de cuarentenas para animales y sus productos","However, this contribution is not clear from the reading of the Nom.",B,B,howev thi contribut is not clear from the read of the nom
3839,"NOM-054-Z00- 1996, Establecimiento de cuarentenas para animales y sus productos","However, this allowance is not clear from the reading of the National Survey of Family Health.",B,B,howev thi allow is not clear from the read of the nation survey of famili health
3840,"NOM-054-Z00- 1996, Establecimiento de cuarentenas para animales y sus productos","This allowance, however, is not clear from the NOM reading.",B,B,thi allow howev is not clear from the nom read
3841,"NOM-054-Z00- 1996, Establecimiento de cuarentenas para animales y sus productos","However, this remuneration is not clearly apparent from the NOM's reading.",B,B,howev thi remuner is not clearli appar from the nom 's read
3842,"NOM-054-Z00- 1996, Establecimiento de cuarentenas para animales y sus productos","However, this charge is not clear from the reading of OM.",B,B,howev thi charg is not clear from the read of om
